t_id,probability
19778,0.5076795128729183
21465,0.46208944520459955
25493,0.4779467643015821
8272,0.5046486986477524
24140,0.5163975198776143
633,0.4777482401725423
30355,0.4862331285299831
13873,0.4791817152800806
2835,0.5138439237039347
11453,0.5036324557582353
9035,0.5067177111156969
19391,0.5239115920307854
16637,0.4886265835017141
1644,0.5260479822300059
2404,0.5341624827861357
13152,0.4876604580669086
18352,0.5291894046779091
3503,0.5316705057204376
16219,0.521551163429277
5372,0.5678090068796852
9849,0.4593828730584432
9688,0.5247834595383342
10470,0.5657060218883931
25916,0.5158757827269306
21486,0.5013883571661951
8827,0.49134099621069544
29318,0.47911309149747255
24955,0.5011182315231644
15945,0.5268340187507594
13362,0.5016331102936302
17559,0.46057572097924593
22055,0.46468433925218544
27144,0.5306150457889357
6312,0.46429097697691124
9684,0.4880028308826943
16769,0.49984992524752137
19850,0.509098566288323
7779,0.4185959247482978
9906,0.5407522124744376
30553,0.5089296089640277
29716,0.5099545075957516
23374,0.4756604862299404
5150,0.5006251255688149
16089,0.5295423366723915
29349,0.47084164852940497
20046,0.5048601251168162
3795,0.4845497431960215
9378,0.5061540996293824
7030,0.5082469040524532
19027,0.5308275283410637
30371,0.513915187391529
23582,0.5147757765918279
830,0.4984239347808323
31362,0.475605676102193
28815,0.4993908729158951
2661,0.5077535429682454
24581,0.4920986105738972
30986,0.5151848245747912
10684,0.4832593867452206
25635,0.5017130052345451
10469,0.5194071332201325
22246,0.5323342558760864
7112,0.486423408388809
2759,0.48192684888878223
29498,0.4756078817173815
5212,0.49650133218763287
8130,0.5040273281085357
10850,0.5357469753705669
25922,0.5062677971587846
4607,0.48851615680162025
4270,0.5280844495864891
2402,0.47203994725090337
27879,0.5411177592170479
28549,0.4750538839929919
18434,0.5121612487267163
12787,0.5073239197109644
23137,0.5239960735645544
85,0.5457287150214001
2130,0.4986615684724756
24702,0.5413176837997881
24505,0.5138868196168258
22785,0.508946473304527
11885,0.5180044642856572
24785,0.5284775455871886
9321,0.5145607722046635
16499,0.5166011150685943
23628,0.4955798521460222
282,0.5286381449904543
19210,0.5161501143038075
13650,0.49928541196000115
19738,0.520648150947678
25262,0.4810510603823796
17176,0.5049365874761739
2571,0.4958792234846636
31215,0.5000889510262193
26821,0.49761423984136927
20109,0.488936896612359
8962,0.5082901231496645
17157,0.5104927221358829
22695,0.5037671348336163
26799,0.5321461137076015
30010,0.5049256834846393
16360,0.5071954410542355
16021,0.5005920933395975
16413,0.5179070623590034
18949,0.5429573973512668
21361,0.5245280826258838
20110,0.5269798756049329
